iter	Passed	Remaining
581	1448	1040
582	1483	1061
583	1486	1058
584	1487	1055
585	1489	1052
586	1490	1048
587	1492	1045
588	1522	1062
589	1523	1058
590	1525	1055
591	1526	1052
592	1528	1048
593	1529	1045
594	1530	1042
595	1532	1038
596	1537	1037
597	1538	1034
598	1539	1030
599	1541	1027
600	1542	1024
601	1543	1020
602	1545	1017
603	1546	1014
604	1551	1012
605	1552	1009
606	1554	1006
607	1556	1003
608	1567	1006
609	1568	1002
610	1570	999
611	1572	996
612	1573	993
613	1575	990
614	1577	987
615	1585	988
616	1586	984
617	1590	983
618	1592	980
619	1593	976
620	1597	975
621	1599	971
622	1600	968
623	1602	965
624	1603	962
625	1605	958
626	1640	976
627	1642	972
628	1644	969
629	1647	967
630	1649	964
631	1651	961
632	1652	958
633	1653	954
634	1655	951
635	1656	948
636	1658	944
637	1662	943
638	1664	940
639	1666	937
640	1667	933
641	1669	930
642	1670	927
643	1672	924
644	1673	921
645	1689	925
646	1690	922
647	1693	920
648	1695	916
649	1696	913
650	1698	910
651	1699	907
652	1701	904
653	1702	900
654	1704	897
655	1708	895
656	1709	892
657	1711	889
658	1712	886
659	1714	882
660	1717	880
661	1737	886
662	1741	885
663	1764	892
664	1766	889
665	1767	886
666	1769	883
667	1772	880
668	1773	877
669	1775	874
670	1777	871
671	1778	868
672	1780	864
673	1781	861
674	1782	858
675	1784	855
676	1787	852
677	1789	849
678	1790	846
679	1792	843
680	1793	840
681	1794	836
682	1796	833
683	1814	838
684	1816	835
685	1817	832
686	1819	828
687	1824	827
688	1825	824
689	1827	821
690	1828	817
691	1831	815
692	1832	811
693	1834	808
694	1838	806
695	1840	803
696	1841	800
697	1843	797
698	1844	794
699	1846	791
700	1847	788
701	1870	794
702	1872	790
703	1873	787
704	1874	784
705	1876	781
706	1877	778
707	1879	775
708	1881	772
709	1885	770
710	1887	767
711	1889	764
712	1891	761
713	1903	762
714	1904	759
715	1906	756
716	1907	752
717	1913	751
718	1923	751
719	1959	762
720	1961	758
721	1962	755
722	1965	753
723	1967	750
724	1968	746
725	1970	743
726	1971	740
